numCommande;nomClient;numTelClient;mailClient;adresseClient;codePostalClient;villeClient;dateCommande;datePaiement;dateRealisation;nomDestinataire;numTelDestinataire;adresseDestinataire;codePostalDestinataire;villeDestinataire;dateLivraisonEffective
11;Bouvier;"0673496436";bouvier@sfr.fr;40, Boulevard de la République;69003;Lyon 3eme;09/12/2020;14/12/2020;29/12/2020;Caron;"0736175261";43, Rue Saint-Henri;69160;Tassin-la-Demi-Lune;29/12/2020
12;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;09/12/2020;22/12/2020;23/12/2020;Boutique Éclat et Élégance;"0735456380";30, Boulevard des Corses;69006;Lyon 6eme;29/12/2020
13;Henry;"0688084294";henry@hotmail.com;39, Avenue du Général Leclerc;69450;Saint-Cyr-au-Mont-d'Or;10/12/2020;15/12/2020;30/12/2020;Henry;"0688084294";39, Avenue du Général Leclerc;69450;Saint-Cyr-au-Mont-d'Or;05/01/2021
14;Guillemette;"0650129632";guillemette@yahoo.com;7, Boulevard des Fusillés;69960;Corbas;11/12/2020;14/12/2020;24/12/2020;Michel;"0622833179";3, Boulevard des Bretons;69800;Saint-Priest;29/12/2020
15;Descamps;"0766585806";descamps@free.fr;27, Boulevard des Allobroges;69300;Caluire-et-Cuire;11/12/2020;24/12/2020;29/12/2020;;"";;;;
16;Boutique Bazar et Création;"0759759346";bazar_et_création@laposte.net;7, Rue du Pont;69760;Limonest;14/12/2020;16/12/2020;22/12/2020;Boutique Bazar et Création;"0759759346";7, Rue du Pont;69760;Limonest;22/12/2020
17;Laurent;"0795980616";laurent@hotmail.com;32, Rue Sainte-Catherine;69004;Lyon 4eme;14/12/2020;24/12/2020;06/01/2021;Mercier;"0779581408";19, Boulevard de la Paix;69130;Écully;06/01/2021
18;Restaurant Comptoir du Terroir;"0616248133";comptoir_du_terroir@protonmail.com;44, Rue Saint-Michel;69340;Francheville;14/12/2020;28/12/2020;30/12/2020;;"";;;;
19;Clerc;"0625973429";clerc@free.fr;13, Rue Saint-Victor;69780;Mions;14/12/2020;29/12/2020;07/01/2021;Clerc;"0625973429";13, Rue Saint-Victor;69780;Mions;12/01/2021
20;Boutique Coin Précieux;"0785431549";coin_précieux@yahoo.com;4, Avenue de Friedland;69003;Lyon 3eme;15/12/2020;15/12/2020;16/12/2020;Boutique Coin Précieux;"0785431549";4, Avenue de Friedland;69003;Lyon 3eme;18/12/2020
21;Boutique Esprit Bohème;"0719312161";esprit_bohème@icloud.com;8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;15/12/2020;18/12/2020;29/12/2020;Boutique Esprit Bohème;"0719312161";8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;31/12/2020
22;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;15/12/2020;24/12/2020;29/12/2020;Boutique Éclat et Élégance;"0735456380";30, Boulevard des Corses;69006;Lyon 6eme;29/12/2020
23;Robert;"0774537467";robert@yahoo.com;21, Rue des Bois;69730;Genay;15/12/2020;24/12/2020;31/12/2020;Vallée;"0620818268";38, Rue des Instituteurs;69360;Solaize;06/01/2021
24;Olivier;"0652790453";olivier@hotmail.com;50, Rue des Colibris;69730;Genay;16/12/2020;29/12/2020;06/01/2021;Olivier;"0652790453";50, Rue des Colibris;69730;Genay;11/01/2021
25;Brun;"0612871619";brun@free.fr;50, Rue du Puits;69350;La Mulatière;16/12/2020;30/12/2020;04/01/2021;Brun;"0612871619";50, Rue du Puits;69350;La Mulatière;06/01/2021
26;Garin;"0633721410";garin@protonmail.com;1, Rue du Calvaire;69380;Lissieu;17/12/2020;21/12/2020;05/01/2021;Garin;"0633721410";1, Rue du Calvaire;69380;Lissieu;05/01/2021
27;Barbot;"0693879448";barbot@gmail.com;43, Avenue de Lowendal;69009;Lyon 9eme;17/12/2020;30/12/2020;14/01/2021;Barbot;"0693879448";43, Avenue de Lowendal;69009;Lyon 9eme;14/01/2021
28;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;18/12/2020;22/12/2020;29/12/2020;Boutique Parfum Secret;"0662111918";31, Boulevard du Maréchal Koenig;69340;Francheville;30/12/2020
29;Descamps;"0766585806";descamps@free.fr;27, Boulevard des Allobroges;69300;Caluire-et-Cuire;18/12/2020;24/12/2020;05/01/2021;Descamps;"0766585806";27, Boulevard des Allobroges;69300;Caluire-et-Cuire;05/01/2021
30;Goutte;"0679991674";goutte@protonmail.com;6, Avenue du Président Kennedy;69360;Solaize;18/12/2020;30/12/2020;12/01/2021;;"";;;;
31;Aubry;"0755210517";aubry@orange.fr;7, Rue de la Justice;69310;Oullins-Pierre-Bénite;21/12/2020;24/12/2020;08/01/2021;Aubry;"0755210517";7, Rue de la Justice;69310;Oullins-Pierre-Bénite;13/01/2021
32;Dufresne;"0641178956";dufresne@orange.fr;29, Rue de la Révolution;69002;Lyon 2eme;22/12/2020;24/12/2020;06/01/2021;Clerc;"0625973429";13, Rue Saint-Victor;69780;Mions;07/01/2021
33;Gros;"0730578978";gros@outlook.com;46, Boulevard des Gaulois;69160;Tassin-la-Demi-Lune;22/12/2020;24/12/2020;06/01/2021;Leblanc;"0711308496";50, Avenue du Général Leclerc;69390;Vernaison;08/01/2021
34;Rousseau;"0662474575";rousseau@sfr.fr;2, Rue Saint-Louis;69370;Saint-Didier-au-Mont-d'Or;22/12/2020;06/01/2021;07/01/2021;Delarue;"0651458072";3, Rue des Métiers;69320;Feyzin;08/01/2021
35;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;23/12/2020;31/12/2020;15/01/2021;Boutique Parfum Secret;"0662111918";31, Boulevard du Maréchal Koenig;69340;Francheville;15/01/2021
36;Benoit;"0732532085";benoit@protonmail.com;25, Rue du Progrès;69500;Bron;24/12/2020;28/12/2020;29/12/2020;Descamps;"0766585806";27, Boulevard des Allobroges;69300;Caluire-et-Cuire;29/12/2020
37;Caron;"0736175261";caron@protonmail.com;43, Rue Saint-Henri;69160;Tassin-la-Demi-Lune;24/12/2020;31/12/2020;15/01/2021;Thibault;"0736092438";44, Boulevard de la Paix;69003;Lyon 3eme;20/01/2021
38;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;48, Rue de la Chapelle;69002;Lyon 2eme;28/12/2020;11/01/2021;14/01/2021;;"";;;;
39;Boutique Tendance et Cie;"0766092349";tendance_et_cie@free.fr;4, Boulevard de Verdun;69280;Marcy-l'Étoile;29/12/2020;30/12/2020;31/12/2020;Boutique Tendance et Cie;"0766092349";4, Boulevard de Verdun;69280;Marcy-l'Étoile;31/12/2020
40;Renault;"0785024707";renault@protonmail.com;34, Avenue de Dijon;69580;Sathonay-Village;29/12/2020;31/12/2020;07/01/2021;Renault;"0785024707";34, Avenue de Dijon;69580;Sathonay-Village;11/01/2021
41;Gilbert;"0723974406";gilbert@sfr.fr;34, Rue du Commerce;69500;Bron;30/12/2020;30/12/2020;11/01/2021;Guerin;"0756352637";15, Rue de la Solidarité;69001;Lyon 1er;11/01/2021
42;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;30/12/2020;07/01/2021;08/01/2021;Boutique Atelier de Luxe;"0665727410";20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;13/01/2021
43;Boutique Coin Précieux;"0785431549";coin_précieux@yahoo.com;4, Avenue de Friedland;69003;Lyon 3eme;31/12/2020;05/01/2021;08/01/2021;Boutique Coin Précieux;"0785431549";4, Avenue de Friedland;69003;Lyon 3eme;11/01/2021
44;Gautier;"0687778853";gautier@icloud.com;3, Rue de l'Égalité;69230;Saint-Genis-Laval;31/12/2020;14/01/2021;15/01/2021;Gautier;"0687778853";3, Rue de l'Égalité;69230;Saint-Genis-Laval;18/01/2021
45;Deleuze;"0637130330";deleuze@outlook.com;12, Rue Saint-Georges;69360;Solaize;04/01/2021;13/01/2021;14/01/2021;Renaud;"0658743912";37, Rue de la Convention;69570;Dardilly;14/01/2021
46;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;04/01/2021;13/01/2021;18/01/2021;Boutique Parfum Secret;"0662111918";31, Boulevard du Maréchal Koenig;69340;Francheville;19/01/2021
47;Boutique Esprit Bohème;"0719312161";esprit_bohème@icloud.com;8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;04/01/2021;15/01/2021;22/01/2021;Boutique Esprit Bohème;"0719312161";8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;26/01/2021
48;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;05/01/2021;05/01/2021;07/01/2021;Boutique Parfum Secret;"0662111918";31, Boulevard du Maréchal Koenig;69340;Francheville;07/01/2021
49;Meunier;"0661308877";meunier@outlook.com;22, Rue des Jardins;69100;Villeurbanne;07/01/2021;21/01/2021;29/01/2021;Meunier;"0661308877";22, Rue des Jardins;69100;Villeurbanne;29/01/2021
50;Boutique Magasin Secret;"0755521343";magasin_secret@gmail.com;28, Rue du Marché;69570;Dardilly;11/01/2021;18/01/2021;20/01/2021;Boutique Magasin Secret;"0755521343";28, Rue du Marché;69570;Dardilly;20/01/2021
51;Boutique Perle Rare;"0668612082";perle_rare@orange.fr;11, Rue des Canards;69002;Lyon 2eme;11/01/2021;20/01/2021;29/01/2021;Boutique Perle Rare;"0668612082";11, Rue des Canards;69002;Lyon 2eme;29/01/2021
52;Delarue;"0651458072";delarue@protonmail.com;3, Rue des Métiers;69320;Feyzin;12/01/2021;15/01/2021;28/01/2021;Boutin;"0641072522";13, Rue des Hirondelles;69004;Lyon 4eme;29/01/2021
53;Marchand;"0766682828";marchand@outlook.com;6, Rue Saint-François;69004;Lyon 4eme;13/01/2021;19/01/2021;27/01/2021;Marchand;"0766682828";6, Rue Saint-François;69004;Lyon 4eme;29/01/2021
54;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;14/01/2021;19/01/2021;29/01/2021;Boutique Parfum Secret;"0662111918";31, Boulevard du Maréchal Koenig;69340;Francheville;29/01/2021
55;Boyer;"0675016227";boyer@icloud.com;9, Rue des Moineaux;69300;Caluire-et-Cuire;14/01/2021;20/01/2021;28/01/2021;Mallet;"0764950337";49, Avenue de la Motte-Picquet;69200;Vénissieux;29/01/2021
56;Roux;"0650504324";roux@protonmail.com;11, Avenue de Paris;69730;Genay;14/01/2021;20/01/2021;29/01/2021;Roux;"0650504324";11, Avenue de Paris;69730;Genay;29/01/2021
57;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;14/01/2021;26/01/2021;27/01/2021;Boutique Comptoir de Mode;"0660162941";6, Rue du Château;69890;La Tour-de-Salvagny;29/01/2021
58;Vallée;"0620818268";vallée@protonmail.com;38, Rue des Instituteurs;69360;Solaize;14/01/2021;26/01/2021;28/01/2021;Vallée;"0620818268";38, Rue des Instituteurs;69360;Solaize;29/01/2021
59;Guichard;"0773471827";guichard@bbox.fr;17, Boulevard Gambetta;69500;Bron;14/01/2021;26/01/2021;29/01/2021;Henry;"0688084294";39, Avenue du Général Leclerc;69450;Saint-Cyr-au-Mont-d'Or;29/01/2021
60;Chauvin;"0730466148";chauvin@laposte.net;50, Avenue de la Division Leclerc;69340;Francheville;15/01/2021;21/01/2021;28/01/2021;Gros;"0730578978";46, Boulevard des Gaulois;69160;Tassin-la-Demi-Lune;29/01/2021
61;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;18/01/2021;26/01/2021;29/01/2021;Boutique Atelier de Luxe;"0665727410";20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;29/01/2021
62;Lucas;"0692075293";lucas@sfr.fr;15, Rue de la Fraternité;69380;Lissieu;19/01/2021;28/01/2021;29/01/2021;Meyer;"0610953253";4, Rue des Héros;69200;Vénissieux;29/01/2021
63;Restaurant Taverne du Palais;"0741911123";taverne_du_palais@sfr.fr;49, Rue du Général de Gaulle;69320;Feyzin;21/01/2021;28/01/2021;29/01/2021;;"";;;;
64;Dufresne;"0641178956";dufresne@orange.fr;29, Rue de la Révolution;69002;Lyon 2eme;21/01/2021;28/01/2021;29/01/2021;Dufresne;"0641178956";29, Rue de la Révolution;69002;Lyon 2eme;29/01/2021
65;Gros;"0730578978";gros@outlook.com;46, Boulevard des Gaulois;69160;Tassin-la-Demi-Lune;22/01/2021;28/01/2021;29/01/2021;Gros;"0730578978";46, Boulevard des Gaulois;69160;Tassin-la-Demi-Lune;29/01/2021
66;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@icloud.com;25, Rue de l'Église;69007;Lyon 7eme;22/01/2021;28/01/2021;29/01/2021;Boutique Fabrique de Rêves;"0648624826";25, Rue de l'Église;69007;Lyon 7eme;29/01/2021
67;Gilbert;"0723974406";gilbert@sfr.fr;34, Rue du Commerce;69500;Bron;25/01/2021;26/01/2021;29/01/2021;Charron;"0772051520";20, Boulevard des Alpes;69520;Grigny-sur-Rhône;29/01/2021
68;Masson;"0641892925";masson@yahoo.com;50, Avenue de Nantes;69270;Fontaines-sur-Saône;25/01/2021;28/01/2021;29/01/2021;;"";;;;
69;Boutique Perle Rare;"0668612082";perle_rare@orange.fr;11, Rue des Canards;69002;Lyon 2eme;25/01/2021;28/01/2021;29/01/2021;Boutique Perle Rare;"0668612082";11, Rue des Canards;69002;Lyon 2eme;29/01/2021
70;Joly;"0644846114";joly@protonmail.com;14, Avenue de Wagram;69580;Sathonay-Village;26/01/2021;26/01/2021;29/01/2021;Joly;"0644846114";14, Avenue de Wagram;69580;Sathonay-Village;29/01/2021
71;Richard;"0635337022";richard@gmail.com;34, Rue Saint-Antoine;69250;Neuville-sur-Saône;26/01/2021;26/01/2021;29/01/2021;Richard;"0635337022";34, Rue Saint-Antoine;69250;Neuville-sur-Saône;29/01/2021
72;Bois;"0729172337";bois@hotmail.com;24, Rue des Héros;69002;Lyon 2eme;26/01/2021;27/01/2021;29/01/2021;Bois;"0729172337";24, Rue des Héros;69002;Lyon 2eme;29/01/2021
73;Meyer;"0610953253";meyer@gmail.com;4, Rue des Héros;69200;Vénissieux;27/01/2021;28/01/2021;29/01/2021;Gautier;"0687778853";3, Rue de l'Égalité;69230;Saint-Genis-Laval;29/01/2021
74;François;"0658732580";françois@protonmail.com;11, Rue des Coquelicots;69330;Meyzieu;27/01/2021;28/01/2021;29/01/2021;François;"0658732580";11, Rue des Coquelicots;69330;Meyzieu;29/01/2021
75;Boucher;"0638781559";boucher@sfr.fr;38, Rue de la Commune;69280;Marcy-l'Étoile;01/10/2021;01/10/2021;05/10/2021;Boucher;"0638781559";38, Rue de la Commune;69280;Marcy-l'Étoile;06/10/2021
76;Richard;"0635337022";richard@gmail.com;34, Rue Saint-Antoine;69250;Neuville-sur-Saône;01/10/2021;01/10/2021;08/10/2021;Richard;"0635337022";34, Rue Saint-Antoine;69250;Neuville-sur-Saône;11/10/2021
77;Restaurant Taverne du Palais;"0741911123";taverne_du_palais@sfr.fr;49, Rue du Général de Gaulle;69320;Feyzin;01/10/2021;06/10/2021;08/10/2021;;"";;;;
78;Tanguy;"0636010054";tanguy@laposte.net;33, Avenue de Breteuil;69340;Francheville;01/10/2021;08/10/2021;15/10/2021;Marty;"0637773108";24, Rue des Cigognes;69320;Feyzin;20/10/2021
79;Deschamps;"0696182788";deschamps@icloud.com;35, Rue de la Solidarité;69450;Saint-Cyr-au-Mont-d'Or;04/10/2021;15/10/2021;22/10/2021;Joly;"0644846114";14, Avenue de Wagram;69580;Sathonay-Village;27/10/2021
80;Vidal;"0752001737";vidal@orange.fr;46, Rue Saint-Ouen;69009;Lyon 9eme;04/10/2021;18/10/2021;22/10/2021;Vidal;"0752001737";46, Rue Saint-Ouen;69009;Lyon 9eme;26/10/2021
81;Restaurant Taverne du Palais;"0741911123";taverne_du_palais@sfr.fr;49, Rue du Général de Gaulle;69320;Feyzin;05/10/2021;;;;"";;;;
82;Restaurant Taverne du Palais;"0741911123";taverne_du_palais@sfr.fr;49, Rue du Général de Gaulle;69320;Feyzin;05/10/2021;06/10/2021;11/10/2021;;"";;;;
83;Mathieu;"0729520448";mathieu@icloud.com;32, Avenue de Lowendal;69680;Chassieu;05/10/2021;07/10/2021;20/10/2021;;"";;;;
84;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;05/10/2021;15/10/2021;25/10/2021;Boutique Atelier de Luxe;"0665727410";20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;28/10/2021
85;Descamps;"0766585806";descamps@free.fr;27, Boulevard des Allobroges;69300;Caluire-et-Cuire;06/10/2021;08/10/2021;14/10/2021;;"";;;;
86;Serrano;"0746767520";serrano@bbox.fr;42, Boulevard de Verdun;69150;Décines-Charpieu;06/10/2021;13/10/2021;18/10/2021;Serrano;"0746767520";42, Boulevard de Verdun;69150;Décines-Charpieu;20/10/2021
87;Dupuis;"0639509781";dupuis@orange.fr;50, Boulevard du Maréchal Juin;69800;Saint-Priest;06/10/2021;14/10/2021;18/10/2021;Clerc;"0625973429";13, Rue Saint-Victor;69780;Mions;18/10/2021
88;Restaurant Table Enchantée;"0720276574";table_enchantée@orange.fr;45, Rue Saint-Jacques;69270;Fontaines-sur-Saône;06/10/2021;15/10/2021;27/10/2021;;"";;;;
89;Pires;"0652306693";pires@bbox.fr;42, Boulevard des Vosges;69780;Mions;07/10/2021;08/10/2021;12/10/2021;;"";;;;
90;Boutique Éclat et Élégance;"0735456380";éclat_et_élégance@free.fr;30, Boulevard des Corses;69006;Lyon 6eme;07/10/2021;14/10/2021;27/10/2021;;"";;;;
91;Hernandez;"0630992042";hernandez@outlook.com;15, Boulevard des Allobroges;69650;Saint-Germain-au-Mont-d'Or;07/10/2021;20/10/2021;21/10/2021;;"";;;;
92;Fournier;"0732561177";fournier@orange.fr;34, Avenue de Wagram;69360;Solaize;07/10/2021;20/10/2021;22/10/2021;Benedetti;"0781632325";14, Boulevard des Résistants;69280;Marcy-l'Étoile;22/10/2021
93;Restaurant Comptoir du Terroir;"0616248133";comptoir_du_terroir@protonmail.com;44, Rue Saint-Michel;69340;Francheville;07/10/2021;21/10/2021;03/11/2021;;"";;;;
94;Deleuze;"0637130330";deleuze@outlook.com;12, Rue Saint-Georges;69360;Solaize;08/10/2021;11/10/2021;18/10/2021;Dufresne;"0641178956";29, Rue de la Révolution;69002;Lyon 2eme;18/10/2021
95;Lefevre;"0749019326";lefevre@outlook.com;27, Boulevard des Espagnols;69320;Feyzin;08/10/2021;15/10/2021;29/10/2021;Bois;"0729172337";24, Rue des Héros;69002;Lyon 2eme;03/11/2021
96;Boutique Comptoir de Mode;"0660162941";comptoir_de_mode@orange.fr;6, Rue du Château;69890;La Tour-de-Salvagny;11/10/2021;14/10/2021;25/10/2021;Boutique Comptoir de Mode;"0660162941";6, Rue du Château;69890;La Tour-de-Salvagny;26/10/2021
97;Boutique Esprit Bohème;"0719312161";esprit_bohème@icloud.com;8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;11/10/2021;22/10/2021;02/11/2021;Boutique Esprit Bohème;"0719312161";8, Rue des Instituteurs;69650;Saint-Germain-au-Mont-d'Or;02/11/2021
98;Gauthier;"0696977450";gauthier@laposte.net;44, Boulevard de l'Yser;69390;Vernaison;12/10/2021;;;;"";;;;
99;Ziegler;"0792431240";ziegler@sfr.fr;21, Avenue de Lowendal;69003;Lyon 3eme;12/10/2021;14/10/2021;19/10/2021;Ziegler;"0792431240";21, Avenue de Lowendal;69003;Lyon 3eme;19/10/2021
100;Boutique Magasin Secret;"0755521343";magasin_secret@gmail.com;28, Rue du Marché;69570;Dardilly;12/10/2021;26/10/2021;03/11/2021;Boutique Magasin Secret;"0755521343";28, Rue du Marché;69570;Dardilly;05/11/2021
101;Boutique Instant Précieux;"0613845064";instant_précieux@free.fr;48, Rue de la Chapelle;69002;Lyon 2eme;14/10/2021;27/10/2021;03/11/2021;Boutique Instant Précieux;"0613845064";48, Rue de la Chapelle;69002;Lyon 2eme;03/11/2021
102;Petit;"0688609527";petit@hotmail.com;12, Boulevard de la Gare;69680;Chassieu;14/10/2021;28/10/2021;04/11/2021;Tanguy;"0636010054";33, Avenue de Breteuil;69340;Francheville;09/11/2021
103;Tanguy;"0636010054";tanguy@laposte.net;33, Avenue de Breteuil;69340;Francheville;14/10/2021;28/10/2021;09/11/2021;Gagnon;"0732683300";23, Rue des Prés;69320;Feyzin;09/11/2021
104;Jacquet;"0796799393";jacquet@laposte.net;42, Boulevard des Espagnols;69290;Craponne;15/10/2021;15/10/2021;26/10/2021;Royer;"0725836057";41, Rue Saint-Charles;69780;Mions;27/10/2021
105;Boutique Fabrique de Rêves;"0648624826";fabrique_de_rêves@icloud.com;25, Rue de l'Église;69007;Lyon 7eme;15/10/2021;25/10/2021;29/10/2021;;"";;;;
106;Boutique Atelier de Luxe;"0665727410";atelier_de_luxe@free.fr;20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;19/10/2021;29/10/2021;05/11/2021;Boutique Atelier de Luxe;"0665727410";20, Rue Sainte-Thérèse;69300;Caluire-et-Cuire;08/11/2021
107;Restaurant Festin Royal;"0677778735";festin_royal@laposte.net;7, Rue de la Justice;69004;Lyon 4eme;19/10/2021;02/11/2021;10/11/2021;;"";;;;
108;Simon;"0785242019";simon@gmail.com;6, Rue Saint-Ouen;69260;Charbonnières-les-Bains;21/10/2021;22/10/2021;02/11/2021;Durand;"0796145775";40, Rue des Chênes;69580;Sathonay-Village;03/11/2021
109;Dubois;"0692607439";dubois@bbox.fr;2, Rue des Résistants;69500;Bron;21/10/2021;29/10/2021;08/11/2021;Dubois;"0692607439";2, Rue des Résistants;69500;Bron;08/11/2021
110;Clerc;"0625973429";clerc@free.fr;13, Rue Saint-Victor;69780;Mions;21/10/2021;02/11/2021;04/11/2021;Clerc;"0625973429";13, Rue Saint-Victor;69780;Mions;04/11/2021
111;Boutique Tendance et Cie;"0766092349";tendance_et_cie@free.fr;4, Boulevard de Verdun;69280;Marcy-l'Étoile;22/10/2021;26/10/2021;05/11/2021;Boutique Tendance et Cie;"0766092349";4, Boulevard de Verdun;69280;Marcy-l'Étoile;05/11/2021
112;Boutique Magasin Secret;"0755521343";magasin_secret@gmail.com;28, Rue du Marché;69570;Dardilly;22/10/2021;05/11/2021;10/11/2021;Boutique Magasin Secret;"0755521343";28, Rue du Marché;69570;Dardilly;10/11/2021
113;Boutique Tendance et Cie;"0766092349";tendance_et_cie@free.fr;4, Boulevard de Verdun;69280;Marcy-l'Étoile;25/10/2021;03/11/2021;10/11/2021;;"";;;;
114;Boutique Parfum Secret;"0662111918";parfum_secret@orange.fr;31, Boulevard du Maréchal Koenig;69340;Francheville;26/10/2021;28/10/2021;10/11/2021;;"";;;;
115;Restaurant Artisan des Saveurs;"0694021431";artisan_des_saveurs@bbox.fr;20, Boulevard des Allobroges;69330;Meyzieu;26/10/2021;04/11/2021;10/11/2021;;"";;;;
116;Blanc;"0692609392";blanc@protonmail.com;38, Avenue de Nice;69500;Bron;26/10/2021;08/11/2021;09/11/2021;Lefevre;"0749019326";27, Boulevard des Espagnols;69320;Feyzin;10/11/2021
117;Marty;"0637773108";marty@laposte.net;24, Rue des Cigognes;69320;Feyzin;27/10/2021;27/10/2021;29/10/2021;Marty;"0637773108";24, Rue des Cigognes;69320;Feyzin;04/11/2021
118;Meunier;"0661308877";meunier@outlook.com;22, Rue des Jardins;69100;Villeurbanne;27/10/2021;03/11/2021;05/11/2021;Meunier;"0661308877";22, Rue des Jardins;69100;Villeurbanne;05/11/2021
119;Ziegler;"0792431240";ziegler@sfr.fr;21, Avenue de Lowendal;69003;Lyon 3eme;27/10/2021;09/11/2021;10/11/2021;;"";;;;
120;Dufresne;"0641178956";dufresne@orange.fr;29, Rue de la Révolution;69002;Lyon 2eme;28/10/2021;02/11/2021;08/11/2021;;"";;;;
121;Boutique Magasin Secret;"0755521343";magasin_secret@gmail.com;28, Rue du Marché;69570;Dardilly;28/10/2021;03/11/2021;10/11/2021;Boutique Magasin Secret;"0755521343";28, Rue du Marché;69570;Dardilly;10/11/2021
122;Boutique Magasin Secret;"0755521343";magasin_secret@gmail.com;28, Rue du Marché;69570;Dardilly;28/10/2021;09/11/2021;10/11/2021;Boutique Magasin Secret;"0755521343";28, Rue du Marché;69570;Dardilly;10/11/2021
123;Hernandez;"0630992042";hernandez@outlook.com;15, Boulevard des Allobroges;69650;Saint-Germain-au-Mont-d'Or;29/10/2021;05/11/2021;08/11/2021;Aubry;"0755210517";7, Rue de la Justice;69310;Oullins-Pierre-Bénite;09/11/2021
124;Restaurant Cuisine Ancienne;"0674460059";cuisine_ancienne@laposte.net;15, Rue Saint-Henri;69700;Givors;29/10/2021;09/11/2021;10/11/2021;;"";;;;
